Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won
266,Jeremy Doku,MF,be Belgium,24,2002,3.4,0,0,0,4,18,0,6,3,1
267,Merchas Doski,DF,iq Iraq,26,1999,3,1,0,0,3,8,0,4,6,9
268,David Doud?ra,MF,cz Czechia,28,1998,1,0,0,0,0,1,0,5,1,0
269,Désiré Doué,MF,fr France,21,2005,4.4,0,0,0,4,8,0,3,2,6
270,Guéla Doué,DF,ci Côte d'Ivoire,23,2002,3.1,1,0,0,6,5,0,12,3,5
271,Deroy Duarte,MF,cv Cabo Verde,26,1999,2.9,0,0,0,4,1,0,1,6,5
272,Laros Duarte,MF,cv Cabo Verde,29,1997,1.8,0,0,0,0,2,0,2,2,1
273,Denzel Dumfries,DFMF,nl Netherlands,30,1996,4.3,0,0,0,6,3,1,16,1,6
274,Jean-Kevin Duverne,DF,ht Haiti,28,1997,1.9,0,0,0,2,1,1,1,4,2
275,Lyndon Dykes,FWMF,sct Scotland,30,1995,0.4,0,0,0,2,0,0,1,0,0
276,Edin Džeko,FW,ba Bosnia–Herz,40,1986,2,1,0,0,1,2,0,0,1,0
277,Roshon van Eijma,DF,cw Curaçao,28,1998,0.2,0,0,0,0,0,0,0,0,0
278,Anthony Elanga,MFFW,se Sweden,24,2002,2.4,0,0,0,0,7,1,12,2,0
279,Meschak Elia,FWMF,cd Congo DR,28,1997,0.5,0,0,0,2,0,0,2,1,0
280,Callan Elliot,DF,nz New Zealand,26,1999,0.1,0,0,0,0,0,0,0,0,1
281,Eren Elmal?,DF,tr Türkiye,25,2000,1.2,1,0,0,2,1,0,1,2,1
282,Nico Elvedi,DF,ch Switzerland,29,1996,6.7,1,0,0,5,6,0,0,6,2
283,Breel Embolo,FW,ch Switzerland,29,1997,5.6,2,1,1,9,11,4,1,2,0
284,Julio Enciso,FW,py Paraguay,22,2004,4.3,0,0,0,3,9,0,5,1,5
285,Endrick,FW,br Brazil,19,2006,1.3,0,0,0,1,1,1,0,1,1
286,Sherzod Esanov,MF,uz Uzbekistan,23,2003,0,0,0,0,0,0,0,0,1,0
287,Fidel Escobar,DF,pa Panama,31,1995,1,0,0,0,1,0,0,1,1,2
288,Pervis Estupiñán,MF,ec Ecuador,28,1998,1,0,0,0,3,0,0,2,0,1
289,Derrick Etienne,FWMF,ht Haiti,29,1996,0.1,0,0,0,0,0,0,2,0,0
290,Stephen Eustáquio,MF,ca Canada,29,1996,4.4,0,0,0,2,7,0,45,3,5
291,Martin Expérience,DFMF,ht Haiti,27,1999,3,0,0,0,7,6,0,6,4,6
292,Saeid Ezatolahi,MF,ir IR Iran,29,1996,2.9,2,0,0,7,4,0,0,7,5
293,Eberechi Eze,MF,eng England,27,1998,2.3,0,0,0,2,4,1,2,0,0
294,Fabinho,DFMF,br Brazil,32,1993,0.8,1,0,0,4,0,0,0,2,1
295,José Fajardo,FW,pa Panama,32,1993,1.7,1,0,0,4,3,1,0,0,2
296,Odeh Al-Fakhouri,MFFW,jo Jordan,20,2005,1.6,0,0,0,2,3,1,1,2,1
297,Henrik Falchener,DF,no Norway,23,2003,0.7,0,0,0,0,0,0,0,1,0
298,Marko Farji,MF,iq Iraq,22,2004,0.6,0,0,0,0,2,0,2,1,1
299,Christian Fassnacht,FWMF,ch Switzerland,32,1993,0.1,0,0,0,0,0,0,0,0,1
300,Abdul Fatawu Issahaku,FWMF,gh Ghana,22,2004,1.5,1,0,0,1,7,0,7,0,0
301,Ahmed Fathy,MF,qa Qatar,33,1993,1.7,2,0,0,2,1,0,0,3,3
302,Hamdy Fathy,DFMF,eg Egypt,31,1994,2.6,1,0,0,3,2,1,1,2,3
303,Ahmed Fatouh,DF,eg Egypt,28,1998,3,1,0,0,2,3,0,8,4,5
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,2.4,0,0,0,6,4,0,10,1,6
305,João Félix,MF,pt Portugal,26,1999,2.2,0,0,0,3,6,0,4,3,4
306,Lewis Ferguson,MF,sct Scotland,26,1999,3,0,0,0,5,10,0,9,4,7
307,Bruno Fernandes,MF,pt Portugal,31,1994,4.7,0,0,0,2,8,1,22,0,5
308,Enzo Fernández,MF,ar Argentina,25,2001,7.3,2,1,1,12,6,1,5,6,7
309,Matias Fernandez-Pardo,FWMF,be Belgium,21,2005,0.5,0,0,0,0,0,0,2,0,1
310,Álvaro Fidalgo,MF,mx Mexico,29,1997,1.1,0,0,0,0,2,0,4,1,0
311,Sherel Floranus,DF,cw Curaçao,27,1998,3,0,0,0,2,0,1,0,4,6
312,Seko Fofana,MF,ci Côte d'Ivoire,31,1995,1,1,0,0,1,0,0,0,2,0
313,Yahia Fofana,GK,ci Côte d'Ivoire,25,2000,4,0,0,0,0,3,0,0,0,0
314,Deveron Fonville,DF,cw Curaçao,23,2003,2.7,0,0,0,2,3,0,0,5,3
315,Yassin Fortuné,FWMF,ht Haiti,27,1999,0.1,0,0,0,0,1,0,0,0,0
316,Lyle Foster,FW,za South Africa,25,2000,0.6,0,0,0,0,1,0,0,0,0
317,Alan Franco,DF,ec Ecuador,27,1998,2.8,2,0,0,7,0,0,5,4,6
318,Alex Freeman,DF,us USA,21,2004,4.2,0,0,0,1,1,0,4,7,6
319,Matt Freese,GK,us USA,27,1998,4,0,0,0,0,2,0,0,0,0
320,Remo Freuler,MF,ch Switzerland,34,1992,6.6,0,0,0,8,3,1,5,8,5
321,Marco Friedl,DF,at Austria,28,1998,0.3,0,0,0,0,0,0,0,0,0
322,Juriën Gaari,DF,cw Curaçao,32,1993,1.8,1,0,0,4,1,0,0,2,2
323,Jassem Gaber,MF,qa Qatar,24,2002,1.7,1,0,0,7,0,0,0,0,2
324,Cody Gakpo,FW,nl Netherlands,27,1999,4.1,0,0,0,3,3,3,12,2,1
325,Matías Galarza,MF,py Paraguay,24,2002,4.3,2,0,0,10,9,0,4,7,11
326,Hernán Galíndez,GK,ec Ecuador,39,1987,4,0,0,0,0,0,0,0,0,0
327,Jesús Gallardo,DF,mx Mexico,31,1994,4.1,0,0,0,7,3,0,16,7,1
328,Ahmed Al-Ganehi,FW,qa Qatar,25,2000,0.4,0,0,0,1,0,0,1,0,1
329,Ben Gannon-Doak,MF,sct Scotland,20,2005,2.1,0,0,0,3,1,0,6,0,1
330,Eric García,DFMF,es Spain,25,2001,0.2,0,0,0,1,0,0,0,1,0
331,Gavi,FW,es Spain,21,2004,0.8,0,0,0,2,1,0,2,1,2
332,Jason Geria,DF,au Australia,33,1993,0.7,0,0,0,2,0,0,1,2,1
